candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms_crest__pcanone__C0p3__l2__weight_none,s0_s1__log__peak_rms_crest,,0.3,l2,,294,294,0.56,3.6803538000094704,12,False,7341,5237,2104,0.9303909549107751,0.9094151115454455,0.8929452392698569,0.8602661596958175,0.9585640633950735,0.8763011377390463,0.9139348547192057,0.9657000568490797,5020,217,294,1810,7341,5237,2104,0.9294374063479091,0.913011832304653,0.8787010506208214,0.8745247148288974,0.9514989497804086,0.8766079085278704,0.9135996429323824,0.9657000568490797,4983,254,264,1840,1983,0.9041855774079677,121,0.14049586776859505
s0_s1__log__peak_rms_crest__pcanone__C0p3__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.3,l2,balanced,294,294,0.67,4.22805169998901,11,False,7341,5237,2104,0.9271216455523771,0.9135212868221219,0.8664175618869687,0.8816539923954373,0.9453885812488065,0.8739693757361602,0.9113547175701018,0.9646970299804477,4951,286,249,1855,7341,5237,2104,0.913363302002452,0.9141144630448309,0.8076278290025146,0.9158745247148289,0.9123544013748329,0.8583518930957684,0.8979750046326566,0.9646970299804477,4778,459,177,1927,1983,0.9248613212304589,121,0.17355371900826447
s0_s1__log__peak_rms_crest__pcanone__C1__l1__weight_none,s0_s1__log__peak_rms_crest,,1.0,l1,,294,294,0.56,9.521144400001504,20,False,7341,5237,2104,0.9305271761340417,0.9092262498992617,0.8941641938674579,0.8593155893536122,0.9591369104449112,0.8763936015511391,0.9140399231704162,0.965121401464136,5023,214,296,1808,7341,5237,2104,0.9279389728919766,0.9109664361725685,0.8766140602582496,0.8711977186311787,0.9507351537139583,0.8738974970202622,0.9117270454491986,0.965121401464136,4979,258,271,1833,1983,0.9041855774079677,121,0.12396694214876033
s0_s1__log__peak_rms_crest__pcanone__C1__l1__weight_balanced,s0_s1__log__peak_rms_crest,,1.0,l1,balanced,294,294,0.73,9.579840999969747,21,False,7341,5237,2104,0.9271216455523771,0.90783456373232,0.8806404657933042,0.8626425855513308,0.9530265419133092,0.8715486194477791,0.9103392997400539,0.9638410265941882,4991,246,289,1815,7341,5237,2104,0.9125459746628525,0.9122621032997877,0.8079191238416176,0.9115969581749049,0.9129272484246707,0.8566324251898169,0.8968579609288951,0.9638410265941882,4781,456,186,1918,1983,0.9072112960161371,121,0.1322314049586777
s0_s1__log__peak_rms_crest__pcanone__C1__l2__weight_none,s0_s1__log__peak_rms_crest,,1.0,l2,,294,294,0.55,4.325351100007538,18,False,7341,5237,2104,0.9286200790083095,0.908458279091954,0.8864970645792564,0.8612167300380228,0.955699828145885,0.8736740597878495,0.9119651863397193,0.9644988205449525,5005,232,292,1812,7341,5237,2104,0.926168096989511,0.9091565952556067,0.8726145038167938,0.8692965779467681,0.9490166125644452,0.8709523809523809,0.9096223457900618,0.9644988205449525,4970,267,275,1829,1983,0.9046898638426626,121,0.1487603305785124
s0_s1__log__peak_rms_crest__pcanone__C1__l2__weight_balanced,s0_s1__log__peak_rms_crest,,1.0,l2,balanced,294,294,0.69,5.073430599994026,23,False,7341,5237,2104,0.9242609998637787,0.9093838009890143,0.8630393996247655,0.8745247148288974,0.9442428871491312,0.8687440982058546,0.9077589914732126,0.9632711744671397,4945,292,264,1840,7341,5237,2104,0.9103664350905871,0.9104501750123972,0.8030176026823135,0.9106463878326996,0.9102539621920948,0.8534521158129176,0.894445838126239,0.9632711744671397,4767,470,188,1916,1983,0.9183055975794251,121,0.15702479338842976
s0_s1__log__peak_rms_crest__pca32__C0p0001__l1__weight_none,s0_s1__log__peak_rms_crest,32.0,0.0001,l1,,294,32,0.51,0.9026076999725774,2,False,7341,5237,2104,0.7069881487535759,0.5128572035335007,0.41924398625429554,0.05798479087452472,0.9677296161924767,0.10187891440501044,0.4634079198052561,0.5589670347941055,5068,169,1982,122,7341,5237,2104,0.3440948099713935,0.5274951155531967,0.2988573972399466,0.9572243346007605,0.097765896505633,0.4555015266312337,0.3154370109607616,0.5589670347941055,512,4725,90,2014,1983,0.0600100857286939,121,0.024793388429752067
s0_s1__log__peak_rms_crest__pca32__C0p0001__l1__weight_balanced,s0_s1__log__peak_rms_crest,32.0,0.0001,l1,balanced,294,32,0.51,0.9034840000094846,3,False,7341,5237,2104,0.6977251055714481,0.5693453951882299,0.4538152610441767,0.2685361216730038,0.8701546687034561,0.33741415347865034,0.5708071385058477,0.6674892418743208,4557,680,1539,565,7341,5237,2104,0.49666258002996866,0.5993110497767058,0.344780487804878,0.839828897338403,0.3587932022150086,0.4888642965832065,0.4965453912810035,0.6674892418743208,1879,3358,337,1767,1983,0.28189611699445283,121,0.049586776859504134
s0_s1__log__peak_rms_crest__pca32__C0p0001__l2__weight_none,s0_s1__log__peak_rms_crest,32.0,0.0001,l2,,294,32,0.59,0.9584382000030018,5,False,7341,5237,2104,0.875630023157608,0.8676223253524389,0.750104997900042,0.8488593155893536,0.8863853351155242,0.796432552954292,0.8534482074372323,0.918634754463524,4642,595,318,1786,7341,5237,2104,0.82768015256777,0.8600320565644715,0.6353662471765086,0.9358365019011406,0.7842276112278022,0.7568710359408034,0.8117090700328555,0.918634754463524,4107,1130,135,1969,1983,0.8885526979324256,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pca32__C0p0001__l2__weight_balanced,s0_s1__log__peak_rms_crest,32.0,0.0001,l2,balanced,294,32,0.64,0.9164592999732122,5,False,7341,5237,2104,0.8662307587522136,0.8587598950433846,0.7320099255583127,0.841254752851711,0.8762650372350582,0.7828394515701017,0.8430929541315075,0.9162234785973742,4589,648,334,1770,7341,5237,2104,0.7952595014303229,0.8415741659049276,0.5884604062408008,0.9500950570342205,0.7330532747756349,0.726776949645519,0.781534646263779,0.9162234785973742,3839,1398,105,1999,1983,0.8799798285426123,121,0.2066115702479339
s0_s1__log__peak_rms_crest__pca32__C0p0003__l1__weight_none,s0_s1__log__peak_rms_crest,32.0,0.0003,l1,,294,32,0.54,0.9477123999968171,7,False,7341,5237,2104,0.8109249421059801,0.7971081842345812,0.6430855315747402,0.7647338403041825,0.8294825281649799,0.6986539296569692,0.7804504265196319,0.8685943139303479,4344,893,495,1609,7341,5237,2104,0.7733278844844027,0.8099956092616807,0.566066066066066,0.8959125475285171,0.7240786709948444,0.69377990430622,0.7569245542292347,0.8685943139303479,3792,1445,219,1885,1983,0.7977811396873424,121,0.2231404958677686
