candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.0001__pca64__whiten__gold1__wetcost1,logistic_regression__C0.0001__pca64__whiten,0.0001,l2,64,True,1.0,1.0,0.5010034218295396,0.550531914893617,0.019171299999470648,0.669747381392483,0.630899264618062,0.6026347042809377,0.840843720038351,0.3620689655172414,0.7032878909382518,0.5585106382978723,0.6737574433960654,0.37603448058603,877,370,166,210,0.6327788046826864,0.6328486239314781,0.5849404083538151,0.8511326860841424,0.34195402298850575,0.6327185244587009,0.6329787234042553,0.6737574433960654,0.37603448058603,789,458,138,238
logistic_regression__C0.001__pca64__whiten__gold1__wetcost1,logistic_regression__C0.001__pca64__whiten,0.001,l2,64,True,1.0,1.0,0.5041208601543099,0.550531914893617,0.024740100001508836,0.6660505237215034,0.6340664403078026,0.6024877447436157,0.8439024390243902,0.3612040133779264,0.6936647955092221,0.574468085106383,0.673701991161767,0.3754934201929254,865,382,160,216,0.6444855206407887,0.6321074834922964,0.5907720947305632,0.8475103734439834,0.34749620637329287,0.6551724137931034,0.6090425531914894,0.673701991161767,0.3754934201929254,817,430,147,229
logistic_regression__C0.0003__pca64__whiten__gold1__wetcost1,logistic_regression__C0.0003__pca64__whiten,0.0003,l2,64,True,1.0,1.0,0.502752692111919,0.550531914893617,0.022283100000095146,0.6709796672828097,0.6289147144636489,0.602166440823611,0.8392007611798288,0.3618881118881119,0.7072975140336808,0.550531914893617,0.6736955928270402,0.3757722463548014,882,365,169,207,0.6358595194085028,0.633924610554693,0.5870469031520623,0.8511777301927195,0.3439767779390421,0.6375300721732157,0.6303191489361702,0.6736955928270402,0.3757722463548014,795,452,139,237
logistic_regression__C0.003__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca256__no_whiten,0.003,l2,256,False,1.0,1.0,0.5162102638187334,0.550531914893617,0.19829089999984717,0.6660505237215034,0.6284934907608046,0.599643729678756,0.8399228543876567,0.3583617747440273,0.698476343223737,0.5585106382978723,0.6678837721169104,0.3720307205507345,871,376,166,210,0.6389402341343191,0.6164240986879148,0.580672667567272,0.836901121304791,0.3364485981308411,0.6583801122694467,0.574468085106383,0.6678837721169104,0.3720307205507345,821,426,160,216
logistic_regression__C3e-05__pca128__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca128__no_whiten,3e-05,l2,128,False,1.0,1.0,0.5140748415439351,0.550531914893617,0.05141049999929237,0.6592729513247073,0.628727029978331,0.5965352665665405,0.8415354330708661,0.3542009884678748,0.6856455493183641,0.5718085106382979,0.6679008343428483,0.36134164795419726,855,392,161,215,0.6204559457794209,0.6220429029671211,0.5737978309801515,0.8455640744797371,0.33098591549295775,0.6190858059342422,0.625,0.6679008343428483,0.36134164795419726,772,475,141,235
logistic_regression__C3e-05__pca64__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca64__no_whiten,3e-05,l2,64,False,1.0,1.0,0.5152909444430893,0.550531914893617,0.029427800001030846,0.6617375231053605,0.6256867545940044,0.5961649065700755,0.8388349514563107,0.35413153456998314,0.6928628708901363,0.5585106382978723,0.6669069596819601,0.36106245873198617,864,383,166,210,0.6210720887245841,0.622443865276664,0.5742946280630448,0.8457330415754923,0.3314527503526093,0.619887730553328,0.625,0.6669069596819601,0.36106245873198617,773,474,141,235
logistic_regression__C3e-05__pca256__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca256__no_whiten,3e-05,l2,256,False,1.0,1.0,0.514389645369286,0.550531914893617,0.08265909999954602,0.6598890942698706,0.6272703424388746,0.5960982893498231,0.8403525954946132,0.3538205980066445,0.6880513231756215,0.5664893617021277,0.6678389837738231,0.3615261930056779,858,389,163,213,0.6192236598890942,0.6203121534235356,0.572414057704113,0.8444687842278203,0.3295774647887324,0.6182838813151563,0.6223404255319149,0.6678389837738231,0.3615261930056779,771,476,142,234
logistic_regression__C3e-05__pca192__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca192__no_whiten,3e-05,l2,192,False,1.0,1.0,0.5148342178707803,0.550531914893617,0.06963970000015252,0.6598890942698706,0.626341517514375,0.5956272116703979,0.8396871945259042,0.35333333333333333,0.6888532477947072,0.5638297872340425,0.6677707348700712,0.36150616449019635,859,388,164,212,0.6198398028342575,0.6216419406575782,0.5733011253889817,0.8453947368421053,0.33052039381153303,0.6182838813151563,0.625,0.6677707348700712,0.36150616449019635,771,476,141,235
logistic_regression__C3e-05__pca384__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca384__no_whiten,3e-05,l2,384,False,1.0,1.0,0.514403681000655,0.550531914893617,0.11261389999981475,0.6592729513247073,0.6268693801293317,0.595601590164518,0.8401960784313726,0.35323383084577115,0.6872493985565357,0.5664893617021277,0.6679349587947243,0.36152126532468254,857,390,163,213,0.6210720887245841,0.622443865276664,0.5742946280630448,0.8457330415754923,0.3314527503526093,0.619887730553328,0.625,0.6679349587947243,0.36152126532468254,773,474,141,235
logistic_regression__C3e-05__pca512__no_whiten__gold1__wetcost1,logistic_regression__C3e-05__pca512__no_whiten,3e-05,l2,512,False,1.0,1.0,0.5144217305177349,0.550531914893617,0.148274199998923,0.6592729513247073,0.6268693801293317,0.595601590164518,0.8401960784313726,0.35323383084577115,0.6872493985565357,0.5664893617021277,0.6678859048951525,0.36142430855232455,857,390,163,213,0.6210720887245841,0.622443865276664,0.5742946280630448,0.8457330415754923,0.3314527503526093,0.619887730553328,0.625,0.6678859048951525,0.36142430855232455,773,474,141,235
