candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__log__peak_rms__C0.03__pca32,s1__log__peak_rms,0.03,32.0,288,0.5827708493917619,False,0.7041997999767773,0.707332101047443,0.6284220426896893,0.6176598805852009,0.8321858864027539,0.3926247288503254,0.7754611066559743,0.48138297872340424,0.6640063812725008,0.3608131677744948,967,280,195,181,0.6241528034504005,0.630950451295876,0.5794779568175177,0.8519337016574585,0.3370473537604457,0.6182838813151563,0.6436170212765957,0.6640063812725008,0.3608131677744948,771,476,134,242
s1__log__peak_rms__C0.03__pca64,s1__log__peak_rms,0.03,64.0,288,0.6088963296396146,False,0.7470090000424534,0.707332101047443,0.5968419952567012,0.5952752317419086,0.8138211382113821,0.37404580152671757,0.8027265437048917,0.39095744680851063,0.6550444470985685,0.34933017583008685,1001,246,229,147,0.6130622304374614,0.6116584057056084,0.5654951913239206,0.8389923329682366,0.32253521126760565,0.6142742582197274,0.6090425531914894,0.6550444470985685,0.34933017583008685,766,481,147,229
s1__log__peak_rms__C0.03__pca128,s1__log__peak_rms,0.03,128.0,288,0.5713686637626839,False,0.7706925999955274,0.685150955021565,0.6149162244706444,0.600239561366512,0.8274021352313167,0.36472945891783565,0.7457898957497995,0.48404255319148937,0.6557269361360882,0.3546466691960556,930,317,194,182,0.6303142329020333,0.6210277005238103,0.5785087051067189,0.8423280423280424,0.33480825958702065,0.6383319967923016,0.6037234042553191,0.6557269361360882,0.3546466691960556,796,451,149,227
s1__log__peak_rms__C0.03__pca256,s1__log__peak_rms,0.03,256.0,288,0.5431347596441969,False,0.9143326000194065,0.6617375231053605,0.6117543807265096,0.5886820359206804,0.8292452830188679,0.3463587921847247,0.7048917401764234,0.5186170212765957,0.6456815506150932,0.3445846473887639,879,368,181,195,0.6284658040665434,0.6142518640481838,0.5745000641291801,0.8375262054507338,0.3303437967115097,0.640737770649559,0.5877659574468085,0.6456815506150932,0.3445846473887639,799,448,155,221
s1__log__peak_rms__C0.1__pcanone,s1__log__peak_rms,0.1,,288,0.5462487449673126,False,1.095383599982597,0.6549599507085644,0.5971267211520415,0.5774820743209068,0.8207282913165266,0.3333333333333333,0.7048917401764234,0.48936170212765956,0.6252388711631319,0.3211157203203806,879,368,192,184,0.6204559457794209,0.5904628555341329,0.5592053979888048,0.8216106014271152,0.3130841121495327,0.6463512429831596,0.5345744680851063,0.6252388711631319,0.3211157203203806,806,441,175,201
s1__log__peak_rms__C0.1__pca32,s1__log__peak_rms,0.1,32.0,288,0.5802075908530244,False,0.7380063000018708,0.7060998151571165,0.6276201180706035,0.6166470163255463,0.8318965517241379,0.39092872570194387,0.7738572574178028,0.48138297872340424,0.6622596358920985,0.35845397886827496,965,282,195,181,0.6260012322858903,0.6275092136020065,0.5790566856024595,0.8485838779956427,0.33617021276595743,0.6246992782678428,0.6303191489361702,0.6622596358920985,0.35845397886827496,779,468,139,237
s1__log__peak_rms__C0.1__pca64,s1__log__peak_rms,0.1,64.0,288,0.6093617222386146,False,0.7639453000156209,0.7030191004313001,0.5940352590899008,0.5918621394882925,0.812755519215045,0.3675,0.7971130713712911,0.39095744680851063,0.6502734221706564,0.3446250554751524,994,253,229,147,0.6192236598890942,0.6110239041785391,0.5683882128164965,0.8370846730975349,0.32463768115942027,0.6263031275060145,0.5957446808510638,0.6502734221706564,0.3446250554751524,781,466,152,224
s1__log__peak_rms__C0.1__pca128,s1__log__peak_rms,0.1,128.0,288,0.6077028315351196,False,0.8556176000274718,0.6968576709796673,0.6021003600129673,0.5959761344823539,0.8180286436394272,0.3669724770642202,0.7786688051323175,0.425531914893617,0.6482622122882151,0.34277527096154486,971,276,216,160,0.6327788046826864,0.617058600214984,0.5779456731171986,0.8387096774193549,0.3338368580060423,0.6463512429831596,0.5877659574468085,0.6482622122882151,0.34277527096154486,806,441,155,221
s1__log__peak_rms__C0.1__pca256,s1__log__peak_rms,0.1,256.0,288,0.5507290476402849,False,0.9884663000120781,0.6568083795440542,0.5964719582316709,0.5778263458372737,0.8200371057513914,0.3339449541284404,0.7089013632718525,0.48404255319148937,0.6255417256735314,0.32191387067916544,884,363,194,182,0.6204559457794209,0.5913916804586327,0.5596744358120607,0.822267620020429,0.3136645962732919,0.6455493183640738,0.5372340425531915,0.6255417256735314,0.32191387067916544,805,442,174,202
s0_s1__log__peak_rms__C1e-05__pcanone,s0_s1__log__peak_rms,1e-05,,291,0.5096200913299715,False,0.8331911999848671,0.6568083795440542,0.6057602074766674,0.583213962162374,0.8260869565217391,0.3398230088495575,0.7008821170809943,0.5106382978723404,0.6414202596870787,0.3407262814884247,874,373,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6414202596870787,0.3407262814884247,660,587,117,259
s0_s1__log__peak_rms__C1e-05__pca32,s0_s1__log__peak_rms,1e-05,32.0,291,0.5097822921626944,False,0.7691017999895848,0.6580406654343808,0.6056333071712536,0.5836601521677738,0.8258003766478342,0.3404634581105169,0.7032878909382518,0.5079787234042553,0.6413754713439915,0.3406661763422678,877,370,185,191,0.5643869377695625,0.6069183060622089,0.5362161795120626,0.8479381443298969,0.30460448642266824,0.5276663993584603,0.6861702127659575,0.6413754713439915,0.3406661763422678,658,589,118,258
s0_s1__log__peak_rms__C1e-05__pca64,s0_s1__log__peak_rms,1e-05,64.0,291,0.509648581613786,False,0.7799597999546677,0.6574245224892175,0.6061611697862103,0.5837002454282076,0.826251180358829,0.3404255319148936,0.7016840417000801,0.5106382978723404,0.6414309235782901,0.3408463414325531,875,372,184,192,0.5643869377695625,0.6078471309867085,0.5365151622252068,0.8488372093023255,0.3050647820965842,0.5268644747393745,0.6888297872340425,0.6414309235782901,0.3408463414325531,657,590,117,259
s0_s1__log__peak_rms__C1e-05__pca128,s0_s1__log__peak_rms,1e-05,128.0,291,0.5096302917848095,False,0.8225792999728583,0.6568083795440542,0.6057602074766674,0.583213962162374,0.8260869565217391,0.3398230088495575,0.7008821170809943,0.5106382978723404,0.6414863758125885,0.3407328808397833,874,373,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6414863758125885,0.3407328808397833,660,587,117,259
s0_s1__log__peak_rms__C1e-05__pca256,s0_s1__log__peak_rms,1e-05,256.0,291,0.5096202244852234,False,0.8256164000486024,0.6568083795440542,0.6057602074766674,0.583213962162374,0.8260869565217391,0.3398230088495575,0.7008821170809943,0.5106382978723404,0.6414223924653211,0.34073529013066556,874,373,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6414223924653211,0.34073529013066556,660,587,117,259
s0_s1__log__peak_rms__C3e-05__pcanone,s0_s1__log__peak_rms,3e-05,,291,0.5228308207307025,False,0.8429699999978766,0.6703635243376463,0.6108660785886126,0.5918056022395796,0.8272058823529411,0.3514018691588785,0.7217321571772254,0.5,0.6472214165059975,0.3480421299789751,900,347,188,188,0.5680837954405422,0.610252904843966,0.5395535982043884,0.85,0.30723606168446027,0.5316760224538893,0.6888297872340425,0.6472214165059975,0.3480421299789751,663,584,117,259
