candidate_key,gold_multiplier,C,pca_components,output_dimension,threshold_oof,native_threshold,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,64,0.5571844472299867,0.5,0.04390369999964605,0.7030191004313001,0.6367612056168848,0.6210045617856464,0.8381962864721485,0.39227642276422764,0.7602245388933441,0.5132978723404256,0.6842123223395724,0.3837492781070472,948,299,183,193,0.6561922365988909,0.6555157910901056,0.6072365339578455,0.863013698630137,0.3649851632047478,0.656776263031275,0.6542553191489362,0.6842123223395724,0.3837492781070472,819,428,130,246
logistic_regression__C0.1__pca32__gold3,3.0,0.1,32.0,32,0.5498784386680098,0.5,0.03221839999923759,0.7110289587184226,0.6298989916224471,0.6201079706322276,0.8324786324786325,0.3973509933774834,0.781074578989575,0.4787234042553192,0.6807444249176747,0.3790688704773374,974,273,196,180,0.6691312384473198,0.6407153764780154,0.6073020866516206,0.8480392156862745,0.36650082918739635,0.6936647955092221,0.5877659574468085,0.6807444249176747,0.3790688704773374,865,382,155,221
logistic_regression__C10__pca32__gold3,3.0,10.0,32.0,32,0.5489649977315115,0.5,0.032192399999985355,0.7110289587184226,0.6298989916224471,0.6201079706322276,0.8324786324786325,0.3973509933774834,0.781074578989575,0.4787234042553192,0.6807230971352523,0.37900760236967657,974,273,196,180,0.6709796672828097,0.641918263406644,0.6088132808550588,0.8484848484848485,0.36833333333333335,0.6960705693664796,0.5877659574468085,0.6807230971352523,0.37900760236967657,868,379,155,221
logistic_regression__C1__pca32__gold3,3.0,1.0,32.0,32,0.5490527058596444,0.5,0.03447800000094503,0.7110289587184226,0.6298989916224471,0.6201079706322276,0.8324786324786325,0.3973509933774834,0.781074578989575,0.4787234042553192,0.68072096435701,0.3790133699201127,974,273,196,180,0.6709796672828097,0.641918263406644,0.6088132808550588,0.8484848484848485,0.36833333333333335,0.6960705693664796,0.5877659574468085,0.68072096435701,0.3790133699201127,868,379,155,221
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,32,0.5456608245378913,0.5,0.03365119999989474,0.7017868145409735,0.6341016311487997,0.6188736002484134,0.8367166813768756,0.38979591836734695,0.7602245388933441,0.5079787234042553,0.6812072377962429,0.3792367916069914,948,299,185,191,0.6660505237215034,0.6479988141752973,0.609205461827978,0.8542713567839196,0.3678343949044586,0.681635926222935,0.6143617021276596,0.6812072377962429,0.3792367916069914,850,397,145,231
logistic_regression__C0.01__pca32__gold1p5,1.5,0.01,32.0,32,0.5482124351377917,0.5,0.034102599999641825,0.7067159581022797,0.6298787302291458,0.6183380035649215,0.8331892826274849,0.3927038626609442,0.773055332798717,0.4867021276595745,0.6805012881980583,0.3781181118349105,964,283,193,183,0.6605052372150338,0.6406748536914126,0.6029344575649197,0.8501006036217303,0.36089030206677264,0.677626303127506,0.6037234042553191,0.6805012881980583,0.3781181118349105,845,402,149,227
logistic_regression__C0.1__pca32__gold1p5,1.5,0.1,32.0,32,0.5410976570853068,0.5,0.03353610000021945,0.707332101047443,0.629350867614189,0.6182543663619172,0.8327586206896552,0.3930885529157667,0.7746591820368885,0.48404255319148937,0.6800086164240987,0.3778470649322285,966,281,194,182,0.6691312384473198,0.6397865515535157,0.606845051883041,0.8473581213307241,0.36605657237936773,0.6944667201283079,0.5851063829787234,0.6800086164240987,0.3778470649322285,866,381,156,220
logistic_regression__C0.1__pca32__gold1,1.0,0.1,32.0,32,0.536250842009304,0.5,0.03649530000029699,0.7036352433764633,0.6315892183794297,0.6181279212250618,0.8347902097902098,0.3903966597077244,0.7658380112269446,0.4973404255319149,0.6797164258049105,0.3768449300225576,955,292,189,187,0.6703635243376463,0.6424461260216008,0.6087646487125083,0.8490196078431372,0.3681592039800995,0.6944667201283079,0.5904255319148937,0.6797164258049105,0.3768449300225576,866,381,154,222
logistic_regression__C10__pca32__gold1,1.0,10.0,32.0,32,0.5350201507423621,0.5,0.03501189999997223,0.7030191004313001,0.6311882560698868,0.6176211238415517,0.8346456692913385,0.38958333333333334,0.7650360866078588,0.4973404255319149,0.6796673719053388,0.3769031678268199,954,293,189,187,0.6703635243376463,0.6405884761726015,0.6078515056057989,0.84765625,0.3672787979966611,0.6960705693664796,0.5851063829787234,0.6796673719053388,0.3769031678268199,868,379,156,220
logistic_regression__C1__pca32__gold1,1.0,1.0,32.0,32,0.5351327066848763,0.5,0.032609499999580294,0.7030191004313001,0.6311882560698868,0.6176211238415517,0.8346456692913385,0.38958333333333334,0.7650360866078588,0.4973404255319149,0.6796652391270965,0.37687666858084123,954,293,189,187,0.6703635243376463,0.6405884761726015,0.6078515056057989,0.84765625,0.3672787979966611,0.6960705693664796,0.5851063829787234,0.6796652391270965,0.37687666858084123,868,379,156,220
logistic_regression__C0.01__pca32__gold1,1.0,0.01,32.0,32,0.5432017168719363,0.5,0.029629099999965547,0.7036352433764633,0.6306603934549302,0.6175524647161097,0.8342059336823735,0.389937106918239,0.7666399358460305,0.4946808510638298,0.6800875292190619,0.3770321211155371,956,291,190,186,0.6617375231053605,0.6414767783104984,0.6039402968090823,0.8504016064257028,0.3620414673046252,0.6792301523656776,0.6037234042553191,0.6800875292190619,0.3770321211155371,847,400,149,227
logistic_regression__C0.1__pca32__gold2,2.0,0.1,32.0,32,0.5409681439774174,0.5,0.03323910000062824,0.7048675292667899,0.6296046682250166,0.6174040442864575,0.8333333333333334,0.39065817409766457,0.7698476343223737,0.48936170212765956,0.6803946492859458,0.3786048334118207,960,287,192,184,0.6715958102279729,0.6423192257161869,0.6093174812857772,0.8486328125,0.36894824707846413,0.6968724939855654,0.5877659574468085,0.6803946492859458,0.3786048334118207,869,378,155,221
logistic_regression__C1__pca32__gold1p5,1.5,1.0,32.0,32,0.5392316554547937,0.5,0.03616000000056374,0.7048675292667899,0.6296046682250166,0.6174040442864575,0.8333333333333334,0.39065817409766457,0.7698476343223737,0.48936170212765956,0.6799126414031974,0.3778098540360908,960,287,192,184,0.6703635243376463,0.6387308263236022,0.6069283960118151,0.8463035019455253,0.3663865546218487,0.6976744186046512,0.5797872340425532,0.6799126414031974,0.3778098540360908,870,377,158,218
