candidate_key,gold_multiplier,C,pca_components,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,train_oof,gold_all,62,56,6,0.5783991078892589,0.8225806451612904,0.7529761904761905,0.6581453634085213,0.9591836734693877,0.3076923076923077,0.8392857142857143,0.6666666666666666,0.8422619047619048,0.5307644110275689,47,9,2,4
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,train_oof,gold_3_of_4,31,28,3,0.5783991078892589,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.75,0.48120300751879697,24,4,2,1
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,train_oof,gold_4_of_4,31,28,3,0.5783991078892589,0.8387096774193549,0.9107142857142857,0.7237076648841354,1.0,0.375,0.8214285714285714,1.0,0.9404761904761905,0.7916666666666666,23,5,0,3
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,train_oof,all,1623,1247,376,0.5483888914777015,0.6993222427603204,0.6427148560801242,0.6228040431133344,0.8428184281842819,0.39147286821705424,0.748195669607057,0.5372340425531915,0.6822053780136157,0.378606750092221,933,314,174,202
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,train_oof,weak_all,1561,1191,370,0.5483888914777015,0.6963484945547725,0.6407833526221436,0.6223464200404238,0.8378887841658812,0.396,0.746431570109152,0.5351351351351351,0.6780606803276827,0.3781256282054374,889,302,172,198
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,train_oof,gold_all,62,56,6,0.5483888914777015,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.8482142857142858,0.6383040935672514,44,12,2,4
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,train_oof,gold_3_of_4,31,28,3,0.5483888914777015,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.738095238095238,0.49206349206349204,24,4,2,1
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,train_oof,gold_4_of_4,31,28,3,0.5483888914777015,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,train_oof,all,1623,1247,376,0.5571844472299867,0.7030191004313001,0.6367612056168848,0.6210045617856464,0.8381962864721485,0.39227642276422764,0.7602245388933441,0.5132978723404256,0.6842123223395724,0.3837492781070472,948,299,183,193
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,train_oof,weak_all,1561,1191,370,0.5571844472299867,0.7001921844971173,0.634918419679125,0.6205923045282877,0.8331797235023042,0.39705882352941174,0.7590260285474392,0.5108108108108108,0.680425261533574,0.38388880036713635,904,287,181,189
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,train_oof,gold_all,62,56,6,0.5571844472299867,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.8303571428571429,0.6124254049445864,44,12,2,4
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,train_oof,gold_3_of_4,31,28,3,0.5571844472299867,0.7741935483870968,0.5773809523809523,0.5450733752620545,0.92,0.16666666666666666,0.8214285714285714,0.3333333333333333,0.6904761904761905,0.47023809523809523,23,5,2,1
logistic_regression__C0.001__pca64__gold3,3.0,0.001,64.0,train_oof,gold_4_of_4,31,28,3,0.5571844472299867,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9761904761904763,0.8666666666666667,21,7,0,3
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,train_oof,all,1623,1247,376,0.5633860400428725,0.7134935304990758,0.6426487399546145,0.6291521645873597,0.84,0.4059196617336152,0.7746591820368885,0.5106382978723404,0.6853341636949957,0.3823360986112314,966,281,184,192
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,train_oof,weak_all,1561,1191,370,0.5633860400428725,0.7104420243433697,0.6407039281094697,0.6285352673851973,0.8349954669084315,0.4104803493449782,0.7732997481108312,0.5081081081081081,0.6809903102094538,0.38243062849850346,921,270,182,188
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,train_oof,gold_all,62,56,6,0.5633860400428725,0.7903225806451613,0.7351190476190477,0.6273693943596856,0.9574468085106383,0.26666666666666666,0.8035714285714286,0.6666666666666666,0.8452380952380952,0.535814916078074,45,11,2,4
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,train_oof,gold_3_of_4,31,28,3,0.5633860400428725,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7619047619047619,0.4841269841269841,24,4,2,1
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,train_oof,gold_4_of_4,31,28,3,0.5633860400428725,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9523809523809524,0.8095238095238095,21,7,0,3
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,train_oof,all,1623,1247,376,0.5711499604355517,0.7233518176216882,0.6453488372093024,0.6351485111336412,0.8398637137989778,0.41870824053452116,0.7906976744186046,0.5,0.6849395997201795,0.38123183652446285,986,261,188,188
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,train_oof,weak_all,1561,1191,370,0.5711499604355517,0.7194106342088404,0.6428551977670366,0.6337282556988391,0.8346666666666667,0.42201834862385323,0.7884130982367759,0.4972972972972973,0.6807543059432228,0.38176462791434945,939,252,186,184
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,train_oof,gold_all,62,56,6,0.5711499604355517,0.8225806451612904,0.7529761904761905,0.6581453634085213,0.9591836734693877,0.3076923076923077,0.8392857142857143,0.6666666666666666,0.8482142857142856,0.5324960127591707,47,9,2,4
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,train_oof,gold_3_of_4,31,28,3,0.5711499604355517,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7619047619047619,0.4841269841269841,24,4,2,1
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,train_oof,gold_4_of_4,31,28,3,0.5711499604355517,0.8387096774193549,0.9107142857142857,0.7237076648841354,1.0,0.375,0.8214285714285714,1.0,0.9404761904761905,0.7916666666666666,23,5,0,3
logistic_regression__C0.01__pcanone__gold3,3.0,0.01,,train_oof,all,1623,1247,376,0.5625268848339484,0.7011706715958103,0.6086223958777662,0.6020508293862223,0.821247892074199,0.37528604118993136,0.781074578989575,0.43617021276595747,0.6519519186473067,0.358998543527089,974,273,212,164
logistic_regression__C0.01__pcanone__gold3,3.0,0.01,,train_oof,weak_all,1561,1191,370,0.5625268848339484,0.7001921844971173,0.6088354097170219,0.6034544151811886,0.8168273444347064,0.38333333333333336,0.7825356842989085,0.43513513513513513,0.6487212653459504,0.36246370549116647,932,259,209,161
logistic_regression__C0.01__pcanone__gold3,3.0,0.01,,train_oof,gold_all,62,56,6,0.5625268848339484,0.7258064516129032,0.625,0.5462763667671114,0.9333333333333333,0.17647058823529413,0.75,0.5,0.7827380952380952,0.39104841518634625,42,14,3,3
logistic_regression__C0.01__pcanone__gold3,3.0,0.01,,train_oof,gold_3_of_4,31,28,3,0.5625268848339484,0.7419354838709677,0.5595238095238095,0.5230769230769231,0.9166666666666666,0.14285714285714285,0.7857142857142857,0.3333333333333333,0.7380952380952381,0.45604395604395603,22,6,2,1
logistic_regression__C0.01__pcanone__gold3,3.0,0.01,,train_oof,gold_4_of_4,31,28,3,0.5625268848339484,0.7096774193548387,0.6904761904761905,0.5620094191522763,0.9523809523809523,0.2,0.7142857142857143,0.6666666666666666,0.8214285714285715,0.5158730158730158,20,8,1,2
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,train_oof,all,1623,1247,376,0.5456608245378913,0.7017868145409735,0.6341016311487997,0.6188736002484134,0.8367166813768756,0.38979591836734695,0.7602245388933441,0.5079787234042553,0.6812072377962429,0.3792367916069914,948,299,185,191
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,train_oof,weak_all,1561,1191,370,0.5456608245378913,0.6982703395259449,0.631795901695146,0.6178762152006299,0.8314917127071824,0.3936842105263158,0.7581863979848866,0.5054054054054054,0.6770463158372478,0.37918079236659374,903,288,183,187
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,train_oof,gold_all,62,56,6,0.5456608245378913,0.7903225806451613,0.7351190476190477,0.6273693943596856,0.9574468085106383,0.26666666666666666,0.8035714285714286,0.6666666666666666,0.8452380952380952,0.5659983291562238,45,11,2,4
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,train_oof,gold_3_of_4,31,28,3,0.5456608245378913,0.8387096774193549,0.6130952380952381,0.5974025974025974,0.9259259259259259,0.25,0.8928571428571429,0.3333333333333333,0.7380952380952381,0.47857142857142854,25,3,2,1
logistic_regression__C0.01__pca32__gold3,3.0,0.01,32.0,train_oof,gold_4_of_4,31,28,3,0.5456608245378913,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9880952380952381,0.9166666666666665,20,8,0,3
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,train_oof,all,1623,1247,376,0.6258040873754445,0.74060382008626,0.6119921855005204,0.6170034948670017,0.8181818181818182,0.4307692307692308,0.8516439454691259,0.3723404255319149,0.6787332150352334,0.38078980719321087,1062,185,236,140
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,train_oof,weak_all,1561,1191,370,0.6258040873754445,0.737988468930173,0.6103161095604421,0.6159291737275773,0.8128,0.43729903536977494,0.8530646515533166,0.3675675675675676,0.6750243946717499,0.3820834009565679,1016,175,234,136
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,train_oof,gold_all,62,56,6,0.6258040873754445,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.8125,0.5532828282828283,46,10,2,4
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,train_oof,gold_3_of_4,31,28,3,0.6258040873754445,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.6904761904761905,0.4601449275362319,24,4,2,1
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,train_oof,gold_4_of_4,31,28,3,0.6258040873754445,0.8064516129032258,0.8928571428571428,0.69,1.0,0.3333333333333333,0.7857142857142857,1.0,0.9285714285714285,0.6805555555555556,22,6,0,3
logistic_regression__C0.01__pca128__gold3,3.0,0.01,128.0,train_oof,all,1623,1247,376,0.6082702326019344,0.7165742452248922,0.6149311539183402,0.6118597541955206,0.822805578342904,0.39603960396039606,0.8043303929430633,0.425531914893617,0.6601993721100855,0.37000236779579926,1003,244,216,160
logistic_regression__C0.01__pca128__gold3,3.0,0.01,128.0,train_oof,weak_all,1561,1191,370,0.6082702326019344,0.712363869314542,0.6130857557809699,0.610599266521734,0.8176369863013698,0.3994910941475827,0.8018471872376155,0.4243243243243243,0.6565570608391768,0.3722903642345596,955,236,213,157
logistic_regression__C0.01__pca128__gold3,3.0,0.01,128.0,train_oof,gold_all,62,56,6,0.6082702326019344,0.8225806451612904,0.6785714285714286,0.6250687190764156,0.9411764705882353,0.2727272727272727,0.8571428571428571,0.5,0.7648809523809523,0.4192118226600985,48,8,3,3
logistic_regression__C0.01__pca128__gold3,3.0,0.01,128.0,train_oof,gold_3_of_4,31,28,3,0.6082702326019344,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7380952380952381,0.45604395604395603,24,4,2,1
logistic_regression__C0.01__pca128__gold3,3.0,0.01,128.0,train_oof,gold_4_of_4,31,28,3,0.6082702326019344,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.8095238095238095,0.5291666666666667,24,4,1,2
logistic_regression__C0.01__pca256__gold3,3.0,0.01,256.0,train_oof,all,1623,1247,376,0.5698671036479659,0.7024029574861368,0.6252143442133461,0.6136180930529439,0.8310225303292894,0.3859275053304904,0.7690457097032879,0.48138297872340424,0.6562622634748929,0.37103187056819076,959,288,195,181
logistic_regression__C0.01__pca256__gold3,3.0,0.01,256.0,train_oof,weak_all,1561,1191,370,0.5698671036479659,0.700832799487508,0.625091338189575,0.6147159972876368,0.8267148014440433,0.39293598233995586,0.7691015952980689,0.4810810810810811,0.6531531531531531,0.3738229068069411,916,275,192,178
logistic_regression__C0.01__pca256__gold3,3.0,0.01,256.0,train_oof,gold_all,62,56,6,0.5698671036479659,0.7419354838709677,0.6339285714285714,0.5579322638146167,0.9347826086956522,0.1875,0.7678571428571429,0.5,0.7619047619047619,0.41004057670724336,43,13,3,3
logistic_regression__C0.01__pca256__gold3,3.0,0.01,256.0,train_oof,gold_3_of_4,31,28,3,0.5698671036479659,0.7096774193548387,0.5416666666666666,0.5026737967914439,0.9130434782608695,0.125,0.75,0.3333333333333333,0.6785714285714286,0.4365079365079365,21,7,2,1
logistic_regression__C0.01__pca256__gold3,3.0,0.01,256.0,train_oof,gold_4_of_4,31,28,3,0.5698671036479659,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.8214285714285714,0.5054945054945055,22,6,1,2
logistic_regression__C0.1__pcanone__gold3,3.0,0.1,,train_oof,all,1623,1247,376,0.48618865865096295,0.674060382008626,0.5956241788803768,0.5837438602768457,0.8171378091872792,0.34419551934826886,0.7417802726543705,0.449468085106383,0.6189557064614649,0.3268151736403372,925,322,207,169
logistic_regression__C0.1__pcanone__gold3,3.0,0.1,,train_oof,weak_all,1561,1191,370,0.48618865865096295,0.6713645099295323,0.5927383302698164,0.582555265776687,0.8110091743119267,0.3481953290870488,0.7422334172963896,0.44324324324324327,0.6156829373454059,0.33179346771093926,884,307,206,164
