threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5
0.48,0.9560805909488885,0.9585155599797647,0.9285046728971963,0.9443916349809885,0.9726394849785408,0.9876447103956222,0.9788199697428139,0.38016528925619836,0.6795249835560905,0.6532761788120025,0.2822085889570552,0.38016528925619836,0.9788846778559827,0.8518153926924906,117,75,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.020000000000000018
0.49,0.9561984680220469,0.9581602860142409,0.9301453352086263,0.9429657794676806,0.9733547925608012,0.9876447103956222,0.9773071104387292,0.38016528925619836,0.679885929233766,0.655774305375899,0.2893081761006289,0.38016528925619836,0.9796065692113337,0.8518153926924906,113,75,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.010000000000000009
0.5,0.9551689260244278,0.9565862013631641,0.9303529411764706,0.939638783269962,0.9735336194563662,0.9876447103956222,0.9757942511346445,0.34710743801652894,0.6634472400333502,0.6440839565900658,0.2727272727272727,0.34710743801652894,0.9797870420501714,0.8518153926924906,112,79,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.0
0.51,0.9552990959017105,0.9563791565354091,0.9316037735849056,0.9386882129277566,0.9740701001430615,0.9876447103956222,0.9747856782652546,0.34710743801652894,0.6637179492916069,0.6459065167869537,0.2781456953642384,0.34710743801652894,0.9803284605666848,0.8518153926924906,109,79,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.010000000000000009
0.52,0.9550896313472845,0.9556968265365514,0.9327969711310933,0.936787072243346,0.9746065808297568,0.9876447103956222,0.9732728189611699,0.33884297520661155,0.6598564271449048,0.6445733524850422,0.2789115646258503,0.33884297520661155,0.980869879083198,0.8518153926924906,106,80,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.020000000000000018
0.53,0.9542121553332572,0.9542121553332572,0.9334600760456274,0.9334600760456274,0.974964234620887,0.9876447103956222,0.9697428139183056,0.33884297520661155,0.6600368999837425,0.6458155698524662,0.2827586206896552,0.33884297520661155,0.9812308247608735,0.8518153926924906,104,80,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.030000000000000027
0.54,0.9548394756241141,0.9545698091243874,0.9352380952380952,0.9334600760456274,0.9756795422031473,0.9876447103956222,0.9697428139183056,0.33884297520661155,0.6603076092419992,0.6477116357510013,0.2887323943661972,0.33884297520661155,0.9817722432773868,0.8518153926924906,101,80,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.040000000000000036
0.55,0.9554542550401541,0.9547792337777488,0.937440305635148,0.9329847908745247,0.9765736766809728,0.9876447103956222,0.9697428139183056,0.3305785123966942,0.6566265599341349,0.6476452762603724,0.29411764705882354,0.3305785123966942,0.9826746074715755,0.8518153926924906,96,81,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.050000000000000044
0.56,0.9547452104316524,0.9535322051600059,0.9381591562799616,0.9301330798479087,0.976931330472103,0.9876447103956222,0.9672213817448311,0.32231404958677684,0.6526748013680139,0.6455938942591526,0.2932330827067669,0.32231404958677684,0.9830355531492511,0.8518153926924906,94,82,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.06000000000000005
0.57,0.9551902034256778,0.9535039872278159,0.9403559403559404,0.9291825095057035,0.9778254649499285,0.9876447103956222,0.9662128088754413,0.32231404958677684,0.6530357470456895,0.6482340617662994,0.3023255813953488,0.32231404958677684,0.983757444504602,0.8518153926924906,90,82,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.06999999999999995
