candidate_key,C,gamma,gamma_multiplier_over_dimension,pca_components,pca_whiten,threshold_oof,elapsed_fit_seconds,support_vectors_mean_cv,support_vectors_max_cv,support_vector_fraction_mean_cv,kernel_feature_products_mean_cv,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
rbf_svm__C100__gamma2overD__pca128,100.0,0.015625,2.0,128,True,-0.3972747971665037,0.44562279991805553,1138.0,1141,0.8764628711667504,145664.0,0.6796056685150955,0.6085210889112593,0.5940751400603337,0.8242640499553969,0.3565737051792829,0.7409783480352847,0.47606382978723405,0.653672004299681,0.3389349952297638,924,323,197,179,0.7535428219346888,0.5200993021549591,0.4970747911450457,0.7758957654723126,0.36363636363636365,0.9550922213311949,0.0851063829787234,0.653672004299681,0.3389349952297638,1191,56,344,32
rbf_svm__C10__gamma0p25overD__pca128,10.0,0.001953125,0.25,128,True,-0.1016490764410094,0.38201580196619034,966.4,981,0.7442990993427444,123699.2,0.685150955021565,0.6046991503011483,0.5936991880871769,0.8211169284467714,0.3584905660377358,0.7546110665597434,0.45478723404255317,0.6486162534764286,0.36186786967564943,941,306,205,171,0.6974738139248305,0.5922842481530141,0.5889280413995243,0.812396694214876,0.36077481840193704,0.7882919005613472,0.3962765957446808,0.6486162534764286,0.36186786967564943,983,264,227,149
rbf_svm__C10__gamma2overD__pca128,10.0,0.015625,2.0,128,True,-0.3972747971665037,0.4436341989785433,1138.4,1141,0.8767709189598257,145715.2,0.6796056685150955,0.6075922639867597,0.5934917056817525,0.8236865538735529,0.356,0.7417802726543705,0.4734042553191489,0.6534715231449095,0.338689849803415,925,322,198,178,0.7523105360443623,0.5174397276868741,0.492736789072996,0.774886141834743,0.3488372093023256,0.9550922213311949,0.0797872340425532,0.6534715231449095,0.338689849803415,1191,56,346,30
rbf_svm__C10__gamma1overD__pca128,10.0,0.0078125,1.0,128,True,-0.43603802586820517,0.4538966976106167,1042.0,1069,0.8025233348872133,133376.0,0.6531115218730745,0.624717406882902,0.5915710908449694,0.8399602385685885,0.34846029173419774,0.677626303127506,0.5718085106382979,0.6524104659693905,0.350817654594661,845,402,161,215,0.7344423906346272,0.5503954170861131,0.5518335401673338,0.7889518413597734,0.3696682464454976,0.8933440256615878,0.2074468085106383,0.6524104659693905,0.350817654594661,1114,133,298,78
rbf_svm__C0p1__gamma1overD__pca64,0.1,0.015625,1.0,64,True,0.37712931478680095,0.3276736978441477,1254.0,1261,0.9658032550818397,80256.0,0.6974738139248305,0.5932130730775137,0.5896333754740835,0.8129139072847682,0.3614457831325301,0.7874899759422614,0.39893617021276595,0.6329531300653484,0.3259864009978048,982,265,226,150,0.59211337030191,0.599883337030149,0.5495310943479763,0.8342857142857143,0.3088235294117647,0.5854049719326383,0.6143617021276596,0.6329531300653484,0.3259864009978048,730,517,145,231
rbf_svm__C10__gamma0p5overD__pca64,10.0,0.0078125,0.5,64,True,0.12031863994969627,0.37625810131430626,963.6,988,0.7421422903240729,61670.4,0.7313616759088108,0.5818283028203859,0.5872560730917473,0.80374531835206,0.3958333333333333,0.8604651162790697,0.30319148936170215,0.6326524083331911,0.3360769106681793,1073,174,262,114,0.7091805298829328,0.5776107338463375,0.5796278167267364,0.8034455755677369,0.36127167630057805,0.8227746591820368,0.3324468085106383,0.6326524083331911,0.3360769106681793,1026,221,251,125
rbf_svm__C100__gamma0p25overD__pca128,100.0,0.001953125,0.25,128,True,-0.2828334538707521,0.6873334012925625,863.8,894,0.6652789688880032,110566.4,0.6722119531731362,0.6009230664232456,0.5864785958674488,0.820627802690583,0.3464566929133858,0.7337610264635124,0.46808510638297873,0.631351413605419,0.3524015132548579,915,332,200,176,0.7054836722119532,0.5668455356685833,0.569137379481939,0.7982932505818464,0.3473053892215569,0.8251804330392943,0.30851063829787234,0.631351413605419,0.3524015132548579,1029,218,260,116
rbf_svm__C0p1__gamma2overD__pca32,0.1,0.0625,2.0,32,True,0.6660691330417067,0.2711961008608341,1254.6,1266,0.966264792995916,40147.2,0.6943930991990142,0.5856353119828013,0.5829423564714269,0.8090534979423868,0.35294117647058826,0.7882919005613472,0.3829787234042553,0.6324220682830282,0.3282904818148962,983,264,232,144,0.4688847812692545,0.581922145063045,0.4633381206212427,0.8558225508317929,0.2754158964879852,0.37129109863672816,0.7925531914893617,0.6324220682830282,0.3282904818148962,463,784,78,298
rbf_svm__C1__gamma2overD__pca128,1.0,0.015625,2.0,128,True,-0.28633782680830994,0.435131698846817,1176.2,1185,0.905883155348846,150553.6,0.6931608133086876,0.5857622122882151,0.5827082808440687,0.8092485549132948,0.35194174757281554,0.7858861267040899,0.38563829787234044,0.6564808732447235,0.3464871774636749,980,267,231,145,0.751694393099199,0.5328287890938253,0.5212680228332527,0.7809587217043942,0.3884297520661157,0.9406575781876504,0.125,0.6564808732447235,0.3464871774636749,1173,74,329,47
rbf_svm__C0p1__gamma0p25overD__pca128,0.1,0.001953125,0.25,128,True,-0.19351891182066971,0.4222069997340441,1295.0,1298,0.9973810599833225,165760.0,0.718422674060382,0.576194569093484,0.5798873410157434,0.8019877675840978,0.37142857142857144,0.8412189254210104,0.31117021276595747,0.6357364056714839,0.31906761348856977,1049,198,259,117,0.74060382008626,0.5404726663140473,0.5371818257557643,0.7844352617079889,0.3684210526315789,0.9133921411387329,0.1675531914893617,0.6357364056714839,0.31906761348856977,1139,108,313,63
rbf_svm__C1__gamma2overD__pca64,1.0,0.03125,2.0,64,True,-0.2539356049364754,0.31439089961349964,1164.6,1177,0.8969482273314424,74534.4,0.6839186691312384,0.5853207271920695,0.5797639386957323,0.8099662162162162,0.3439635535307517,0.7690457097032879,0.4015957446808511,0.6415162347079799,0.3223473927041597,959,288,225,151,0.7313616759088108,0.541888831066901,0.5411282248149282,0.7853624208304011,0.35148514851485146,0.8949478748997595,0.18882978723404256,0.6415162347079799,0.3223473927041597,1116,131,305,71
rbf_svm__C0p1__gamma0p5overD__pca128,0.1,0.00390625,0.5,128,True,0.03916340486520686,0.38343759812414646,1273.0,1279,0.980436770729173,162944.0,0.6956253850893407,0.5771489873568906,0.5764166254580496,0.8043654001616815,0.3471502590673575,0.7979149959903769,0.35638297872340424,0.6297219710283404,0.3136330660757888,995,252,242,134,0.680837954405422,0.5730988414748588,0.5696379428964569,0.8034970857618651,0.33175355450236965,0.7738572574178028,0.3723404255319149,0.6297219710283404,0.3136330660757888,965,282,236,140
rbf_svm__C100__gamma0p25overD__pca32,100.0,0.0078125,0.25,32,True,0.06342841180213066,0.648682901635766,805.2,825,0.6201452818394142,25766.4,0.6906962415280345,0.5739412888805473,0.57265279147347,0.8030919446704637,0.3401015228426396,0.7914995990376904,0.35638297872340424,0.6039345493013019,0.31243991309624264,987,260,242,134,0.6833025261860751,0.5728450408640311,0.5700418504927225,0.8031430934656741,0.3333333333333333,0.7786688051323175,0.3670212765957447,0.6039345493013019,0.31243991309624264,971,276,238,138
rbf_svm__C10__gamma1overD__pca64,10.0,0.015625,1.0,64,True,-0.12801552195436489,0.3985061962157488,995.6,1007,0.7667882488722508,63718.4,0.7042513863216266,0.5706877356719957,0.5725028644678675,0.8003132341425215,0.34971098265895956,0.8195669607056937,0.32180851063829785,0.6146282994079407,0.3042818796507503,1022,225,255,121,0.7134935304990758,0.5441932979576516,0.5458932459972814,0.7870778267254038,0.32950191570881227,0.859663191659984,0.22872340425531915,0.6146282994079407,0.3042818796507503,1072,175,290,86
