candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
linear_svm__C0.01__pca64,linear_svm,0.01,64.0,64,wet_decision_score,0.0,0.2116273399445947,0.06370159983634949,0.7455329636475663,0.6059116347318672,0.6129084232246053,0.8144796380090498,0.4377104377104377,0.8660785886126704,0.34574468085106386,0.6714284495555289,0.37163865129236606,1080,167,246,130,0.6715958102279729,0.623742727226194,0.5996552178953483,0.8355263157894737,0.3595706618962433,0.7129109863672815,0.5345744680851063,0.6714284495555289,0.37163865129236606,889,358,175,201
logistic_regression__C1__pca64,logistic_regression,1.0,64.0,64,wet_probability,0.5,0.6166046176564228,0.059209300205111504,0.7393715341959335,0.607474961183436,0.6127747899681039,0.8159509202453987,0.4263322884012539,0.8532477947072975,0.3617021276595745,0.6720064324591786,0.3732570853456156,1064,183,240,136,0.6678989525569933,0.6250522530669351,0.5986899116591807,0.8371428571428572,0.35776614310645727,0.7048917401764234,0.5452127659574468,0.6720064324591786,0.3732570853456156,879,368,171,205
logistic_regression__C10__pca64,logistic_regression,10.0,64.0,64,wet_probability,0.5,0.6166082071907212,0.06843330152332783,0.7393715341959335,0.607474961183436,0.6127747899681039,0.8159509202453987,0.4263322884012539,0.8532477947072975,0.3617021276595745,0.6719915030114829,0.37329441695986554,1064,183,240,136,0.6678989525569933,0.6250522530669351,0.5986899116591807,0.8371428571428572,0.35776614310645727,0.7048917401764234,0.5452127659574468,0.6719915030114829,0.37329441695986554,879,368,171,205
linear_svm__C0.1__pca64,linear_svm,0.1,64.0,64,wet_decision_score,0.0,0.21228615355954078,0.06349499896168709,0.7461491065927295,0.6053837721169104,0.6125683693334569,0.8141459744168548,0.4387755102040816,0.867682437850842,0.34308510638297873,0.6710893378150113,0.37136083147487736,1082,165,247,129,0.674060382008626,0.6244177515398659,0.6011290164474402,0.8355140186915888,0.3616636528028933,0.7169206094627105,0.5319148936170213,0.6710893378150113,0.37136083147487736,894,353,176,200
linear_svm__C1__pca64,linear_svm,1.0,64.0,64,wet_decision_score,0.0,0.21201955248760235,0.05518869869410992,0.7461491065927295,0.6053837721169104,0.6125683693334569,0.8141459744168548,0.4387755102040816,0.867682437850842,0.34308510638297873,0.671070142810831,0.37136152515098714,1082,165,247,129,0.6746765249537893,0.6248187138494088,0.6016259557882836,0.8356676003734828,0.36231884057971014,0.7177225340817963,0.5319148936170213,0.671070142810831,0.37136152515098714,895,352,176,200
linear_svm__C0.001__pca64,linear_svm,0.001,64.0,64,wet_decision_score,0.0,0.21226502678711695,0.057025402784347534,0.7430683918669131,0.6061654353426948,0.6125460494113404,0.8148710166919575,0.43278688524590164,0.8612670408981555,0.35106382978723405,0.674335426299715,0.3738651280424324,1074,173,244,132,0.6715958102279729,0.6386039260181884,0.6074681242748298,0.8459302325581395,0.36717428087986465,0.7000801924619086,0.5771276595744681,0.674335426299715,0.3738651280424324,873,374,159,217
linear_svm__C0.001__pca256,linear_svm,0.001,256.0,256,wet_decision_score,0.0,0.13826743671897282,0.31930850073695183,0.7060998151571165,0.6127589192786091,0.6066749886829723,0.822986577181208,0.382830626450116,0.7866880513231757,0.43882978723404253,0.6507426333839512,0.3637171480894632,981,266,211,165,0.6432532347504621,0.6043696360627208,0.5765882833729763,0.8274509803921568,0.33167495854063017,0.6768243785084203,0.5319148936170213,0.6507426333839512,0.3637171480894632,844,403,176,200
logistic_regression__C0.01__pca128,logistic_regression,0.01,128.0,128,wet_probability,0.5,0.6207928095357267,0.12079550139605999,0.7208872458410351,0.6047343411421454,0.6054093798722122,0.8165869218500797,0.3956639566395664,0.8211708099438653,0.3882978723404255,0.6581369755498303,0.36773344908182093,1024,223,230,146,0.6321626617375231,0.6045829138869456,0.5716540327290234,0.8296146044624746,0.32653061224489793,0.6559743384121892,0.5531914893617021,0.6581369755498303,0.36773344908182093,818,429,168,208
linear_svm__C0.001__pca128,linear_svm,0.001,128.0,128,wet_decision_score,0.0,0.13870152777554623,0.13242889940738678,0.7042513863216266,0.6096983825009811,0.6038725948826424,0.8214585079631181,0.37906976744186044,0.7858861267040899,0.43351063829787234,0.6563305123786449,0.36673427160298033,980,267,213,163,0.6346272335181762,0.607115588049617,0.5740638214539395,0.8309716599190283,0.3291338582677165,0.6583801122694467,0.5558510638297872,0.6563305123786449,0.36673427160298033,821,426,167,209
logistic_regression__C0.01__pca256,logistic_regression,0.01,256.0,256,wet_probability,0.5,0.5948916597268932,0.2678216975182295,0.7067159581022797,0.6085157569656537,0.603862167982771,0.8204488778054863,0.38095238095238093,0.7914995990376904,0.425531914893617,0.6533787472913716,0.3685283693651193,987,260,216,160,0.6457178065311152,0.6087599600743914,0.5800001350156281,0.8300589390962672,0.33553719008264465,0.677626303127506,0.5398936170212766,0.6533787472913716,0.3685283693651193,845,402,173,203
linear_svm__C0.1__pca128,linear_svm,0.1,128.0,128,wet_decision_score,0.0,0.24312412547148932,0.16492169722914696,0.7301293900184843,0.5977452268422938,0.6019492823738106,0.8118735543562067,0.4049079754601227,0.8444266238973537,0.35106382978723405,0.6421859270760464,0.36032180393008406,1053,194,244,132,0.6512630930375847,0.6077244962377791,0.581915776749402,0.8283510125361621,0.3378839590443686,0.6888532477947072,0.526595744680851,0.6421859270760464,0.36032180393008406,859,388,178,198
linear_svm__C1__pca128,linear_svm,1.0,128.0,128,wet_decision_score,0.0,0.24243250184142034,0.14482200145721436,0.729513247073321,0.5973442645327509,0.6014513385418037,0.8117283950617284,0.4036697247706422,0.8436246992782679,0.35106382978723405,0.6420046409254551,0.3602635573060143,1052,195,244,132,0.6506469500924215,0.6073235339282362,0.5814287644147519,0.8281853281853282,0.3373083475298126,0.6880513231756215,0.526595744680851,0.6420046409254551,0.3602635573060143,858,389,178,198
linear_svm__C0.01__pca128,linear_svm,0.01,128.0,128,wet_decision_score,0.0,0.23742472886433316,0.18159030191600323,0.7282809611829945,0.5965423399136651,0.6004571830490593,0.8114374034003091,0.4012158054711246,0.8420208500400962,0.35106382978723405,0.6441800747325496,0.3611408049633712,1050,197,244,132,0.6481823783117683,0.6066485096145644,0.5799820795109528,0.8281553398058252,0.33558178752107926,0.6840417000801925,0.5292553191489362,0.6441800747325496,0.3611408049633712,853,394,177,199
logistic_regression__C0.1__pca128,logistic_regression,0.1,128.0,128,wet_probability,0.5,0.6193269919403339,0.15849770233035088,0.714109673444239,0.5993949308126738,0.5992097789850599,0.8144578313253013,0.3835978835978836,0.8131515637530072,0.38563829787234044,0.6449564060127285,0.36151075592956194,1014,233,231,145,0.6414048059149723,0.6013090992850927,0.574147109423183,0.8256611165523996,0.3289036544850498,0.6760224538893344,0.526595744680851,0.6449564060127285,0.36151075592956194,843,404,178,198
logistic_regression__C1__pca128,logistic_regression,1.0,128.0,128,wet_probability,0.5,0.6315662523129739,0.15810240246355534,0.7171903881700554,0.5976844426623897,0.5986666343426508,0.8131955484896661,0.3863013698630137,0.8203688853247795,0.375,0.6425612960466822,0.3603275646142455,1023,224,235,141,0.6414048059149723,0.600380274360593,0.573650429695963,0.8250244379276638,0.3283333333333333,0.6768243785084203,0.523936170212766,0.6425612960466822,0.3603275646142455,844,403,179,197
logistic_regression__C10__pca128,logistic_regression,10.0,128.0,128,wet_probability,0.5,0.6311518141359023,0.18930920213460922,0.7159581022797289,0.596882518043304,0.5976817052376986,0.8128980891719745,0.38419618528610355,0.8187650360866079,0.375,0.6422051220802266,0.36021094099686496,1021,226,235,141,0.6414048059149723,0.5994514494360934,0.5731510469387165,0.824390243902439,0.3277591973244147,0.677626303127506,0.5212765957446809,0.6422051220802266,0.36021094099686496,845,402,180,196
linear_svm__C0.001__pcanone,linear_svm,0.001,,1932,wet_decision_score,0.0,0.269764760393297,4.681935902684927,0.7375231053604436,0.5904820505383133,0.5967226769199183,0.8074906367041198,0.4131944444444444,0.8644747393744988,0.31648936170212766,0.6458649695439267,0.3529613226674279,1078,169,257,119,0.6494146642020949,0.5935180603661554,0.5731578857359698,0.8192090395480226,0.32798573975044565,0.6976744186046512,0.48936170212765956,0.6458649695439267,0.3529613226674279,870,377,192,184
