fold_excluded,gold_multiplier,wet_cost,class_name,consensus_group,recording_count,weight_sum,weight_mean
3,1.5,1.3,wet,gold_4_of_4,3,10.877874077788126,3.6259580259293753
3,1.5,1.3,wet,weak_1_vote,293,708.2704677315379,2.4173053506195834
3,1.5,1.3,wet,weak_4_eval_2_1_1,3,7.25191605185875,2.4173053506195834
4,1.0,1.0,dry,gold_3_of_4,22,14.317635270541079,0.6508016032064127
4,1.0,1.0,dry,gold_4_of_4,23,14.96843687374749,0.6508016032064127
4,1.0,1.0,dry,weak_1_vote,949,617.6107214428855,0.6508016032064126
4,1.0,1.0,dry,weak_4_eval_2_1_1,4,2.603206412825651,0.6508016032064128
4,1.0,1.0,wet,gold_3_of_4,3,6.4734219269103,2.1578073089700998
4,1.0,1.0,wet,gold_4_of_4,2,4.3156146179401995,2.1578073089700998
4,1.0,1.0,wet,weak_1_vote,292,630.0797342192691,2.1578073089700998
4,1.0,1.0,wet,weak_4_eval_2_1_1,4,8.631229235880399,2.1578073089700998
4,1.0,1.3,dry,gold_3_of_4,22,12.45011762655746,0.5659144375707936
4,1.0,1.3,dry,gold_4_of_4,23,13.016032064128254,0.5659144375707936
4,1.0,1.3,dry,weak_1_vote,949,537.0528012546836,0.5659144375707941
4,1.0,1.3,dry,weak_4_eval_2_1_1,4,2.2636577502831754,0.5659144375707938
4,1.0,1.3,wet,gold_3_of_4,3,7.317781308681207,2.439260436227069
4,1.0,1.3,wet,gold_4_of_4,2,4.878520872454138,2.439260436227069
4,1.0,1.3,wet,weak_1_vote,292,712.2640473783042,2.439260436227069
4,1.0,1.3,wet,weak_4_eval_2_1_1,4,9.757041744908276,2.439260436227069
4,1.5,1.0,dry,gold_3_of_4,22,21.002939735423812,0.9546790788829006
4,1.5,1.0,dry,gold_4_of_4,23,21.957618814306713,0.9546790788829006
4,1.5,1.0,dry,weak_1_vote,949,603.9936305732483,0.6364527192552669
4,1.5,1.0,dry,weak_4_eval_2_1_1,4,2.545810877021068,0.636452719255267
4,1.5,1.0,wet,gold_3_of_4,3,9.63014827018122,3.2100494233937398
4,1.5,1.0,wet,gold_4_of_4,2,6.4200988467874796,3.2100494233937398
4,1.5,1.0,wet,weak_1_vote,292,624.8896210873148,2.1400329489291603
4,1.5,1.0,wet,weak_4_eval_2_1_1,4,8.56013179571664,2.14003294892916
4,1.5,1.3,dry,gold_3_of_4,22,18.263425856890272,0.8301557207677397
4,1.5,1.3,dry,gold_4_of_4,23,19.09358157765801,0.8301557207677396
4,1.5,1.3,dry,weak_1_vote,949,525.21185267239,0.5534371471784931
4,1.5,1.3,dry,weak_4_eval_2_1_1,4,2.2137485887139725,0.5534371471784931
4,1.5,1.3,wet,gold_3_of_4,3,10.886254566291813,3.628751522097271
4,1.5,1.3,wet,gold_4_of_4,2,7.257503044194542,3.628751522097271
4,1.5,1.3,wet,weak_1_vote,292,706.3969629682689,2.4191676813981813
4,1.5,1.3,wet,weak_4_eval_2_1_1,4,9.676670725592723,2.419167681398181
