candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,0.001,64,False,1.5,1.15,train_oof,gold_4_of_4,31,28,3,0.5429538523838762,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9523809523809524,0.8095238095238095,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,0.001,64,False,1.5,1.3,train_oof,all,1623,1247,376,0.5362837612717646,0.685150955021565,0.6548556962241294,0.6223149208633421,0.8545279383429673,0.38461538461538464,0.7113071371291099,0.598404255319149,0.6798870480642905,0.37907739162274945,887,360,151,225
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,0.001,64,False,1.5,1.3,train_oof,weak_all,1561,1191,370,0.5362837612717646,0.6822549647661755,0.6520412099757188,0.6215935127188559,0.8492462311557789,0.38869257950530034,0.709487825356843,0.5945945945945946,0.6756257516962806,0.3800760464065991,845,346,150,220
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,0.001,64,False,1.5,1.3,train_oof,gold_all,62,56,6,0.5362837612717646,0.7580645161290323,0.7916666666666667,0.6242424242424243,0.9767441860465116,0.2631578947368421,0.75,0.8333333333333334,0.8392857142857144,0.5404671717171717,42,14,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,0.001,64,False,1.5,1.3,train_oof,gold_3_of_4,31,28,3,0.5362837612717646,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.75,0.4944444444444444,22,6,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,0.001,64,False,1.5,1.3,train_oof,gold_4_of_4,31,28,3,0.5362837612717646,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9523809523809524,0.8095238095238095,20,8,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,0.001,64,False,1.5,1.5,train_oof,all,1623,1247,376,0.5472172519451322,0.6869993838570548,0.6542009333037588,0.6229323762169756,0.8535885167464115,0.38581314878892736,0.7153167602245389,0.5930851063829787,0.6800704669931239,0.37870811560553297,892,355,153,223
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,0.001,64,False,1.5,1.5,train_oof,weak_all,1561,1191,370,0.5472172519451322,0.6848174247277387,0.6518573989606735,0.6227898186276051,0.8484546360917248,0.3906810035842294,0.7145256087321579,0.5891891891891892,0.6759048721265346,0.37981743954928054,851,340,152,218
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,0.001,64,False,1.5,1.5,train_oof,gold_all,62,56,6,0.5472172519451322,0.7419354838709677,0.7827380952380952,0.6106750392464678,0.9761904761904762,0.25,0.7321428571428571,0.8333333333333334,0.8392857142857144,0.5404671717171717,41,15,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,0.001,64,False,1.5,1.5,train_oof,gold_3_of_4,31,28,3,0.5472172519451322,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.75,0.4944444444444444,22,6,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,0.001,64,False,1.5,1.5,train_oof,gold_4_of_4,31,28,3,0.5472172519451322,0.7096774193548387,0.8392857142857143,0.6042553191489362,1.0,0.25,0.6785714285714286,1.0,0.9523809523809524,0.8095238095238095,19,9,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,0.0003,64,False,1.0,1.0,train_oof,all,1623,1247,376,0.5196398153491266,0.680837954405422,0.6529777849818288,0.6191935571539869,0.8542274052478134,0.38047138047138046,0.7048917401764234,0.601063829787234,0.6812456278046035,0.3805328184738049,879,368,150,226
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,0.0003,64,False,1.0,1.0,train_oof,weak_all,1561,1191,370,0.5196398153491266,0.6764894298526586,0.6491944085143078,0.6172765781839809,0.8485772357723578,0.3830155979202773,0.7010915197313182,0.5972972972972973,0.6770258923911316,0.3801921824772636,835,356,149,221
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,0.0003,64,False,1.0,1.0,train_oof,gold_all,62,56,6,0.5196398153491266,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8333333333333333,0.5846476271668087,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,0.0003,64,False,1.0,1.0,train_oof,gold_3_of_4,31,28,3,0.5196398153491266,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,0.0003,64,False,1.0,1.0,train_oof,gold_4_of_4,31,28,3,0.5196398153491266,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,0.0003,64,False,1.0,1.15,train_oof,all,1623,1247,376,0.5204572687540152,0.6802218114602587,0.6562921223702844,0.6204651451996108,0.8568627450980392,0.3814262023217247,0.7008821170809943,0.6117021276595744,0.6812733539217527,0.3799957593309572,874,373,146,230
