n_components,explained_variance_ratio,cumulative_explained_variance_ratio
335,6.836029936683448e-05,0.9877393963322312
336,6.786300661812094e-05,0.9878072593388493
337,6.773511194388206e-05,0.9878749944507932
338,6.735378331705468e-05,0.9879423482341102
339,6.698227623266081e-05,0.9880093305103429
340,6.64880055083479e-05,0.9880758185158512
341,6.636411522087484e-05,0.9881421826310721
342,6.605246741646477e-05,0.9882082350984885
343,6.543496481021823e-05,0.9882736700632988
344,6.463480938669388e-05,0.9883383048726855
345,6.417958644941107e-05,0.9884024844591349
346,6.40115362381045e-05,0.9884664959953731
347,6.339442015589788e-05,0.988529890415529
348,6.282697569141762e-05,0.9885927173912203
349,6.250589909293827e-05,0.9886552232903133
350,6.243333058204533e-05,0.9887176566208954
351,6.197362647550919e-05,0.9887796302473709
352,6.115014257972001e-05,0.9888407803899506
353,6.104959987044872e-05,0.988901829989821
354,6.0649428455442195e-05,0.9889624794182764
355,6.0221037110029335e-05,0.9890227004553864
356,5.9822073910079436e-05,0.9890825225292965
357,5.965582979052515e-05,0.989142178359087
358,5.9409980761265245e-05,0.9892015883398483
359,5.90207508268869e-05,0.9892606090906751
360,5.87686868990216e-05,0.9893193777775742
361,5.839740272565649e-05,0.9893777751802998
362,5.7927312553769876e-05,0.9894357024928535
363,5.748057601753019e-05,0.989493183068871
364,5.70840001564521e-05,0.9895502670690275
365,5.6712093891537837e-05,0.9896069791629191
366,5.656197250997133e-05,0.989663541135429
367,5.6256765936817834e-05,0.9897197979013658
368,5.557324281243487e-05,0.9897753711441782
369,5.5242461387874945e-05,0.9898306136055661
370,5.510988679716611e-05,0.9898857234923633
371,5.471496442905444e-05,0.9899404384567924
372,5.425422667232386e-05,0.9899946926834647
373,5.3855919747929055e-05,0.9900485486032127
374,5.369193689458256e-05,0.9901022405401072
375,5.328167662946758e-05,0.9901555222167366
376,5.323495019692963e-05,0.9902087571669336
377,5.2893217916170274e-05,0.9902616503848497
378,5.2163725342791196e-05,0.9903138141101925
379,5.204142996354081e-05,0.990365855540156
380,5.191513600097947e-05,0.990417770676157
381,5.1674147766640314e-05,0.9904694448239236
382,5.120134936402051e-05,0.9905206461732876
383,5.086263676161342e-05,0.9905715088100492
384,5.069356885817176e-05,0.9906222023789073
385,5.0196245474932114e-05,0.9906723986243823
