candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,threshold_oof,selected_rf,elapsed_seconds_total_search,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
rf__trees300__depth4__leaf10__features0p1,300,4,10,0.1,0.8,0.5220522059865731,False,574.2986249998212,0.7097966728280961,0.6365276663993584,0.6237939558641366,0.8368055555555556,0.3991507430997877,0.773055332798717,0.5,0.6730557593543653,0.3635842733589675,964,283,188,188,0.6869993838570548,0.6319091351157673,0.6110997905699893,0.8380603842634949,0.3754716981132076,0.7345629510825983,0.5292553191489362,0.6730557593543653,0.3635842733589675,916,331,177,199
rf__trees200__depth6__leaf10__features0p1,200,6,10,0.1,0.8,0.5144022645175763,False,574.2986249998212,0.7350585335797906,0.6223158985821291,0.623665365285477,0.8244638602065131,0.4258241758241758,0.8323977546110666,0.4122340425531915,0.6733479499735535,0.36431001088175097,1038,209,221,155,0.7208872458410351,0.6214531897831391,0.6181007861663805,0.825944170771757,0.4049382716049383,0.8067361668003208,0.43617021276595747,0.6733479499735535,0.36431001088175097,1006,241,212,164
rf__trees100__depth10__leaf10__featuressqrt,100,10,10,sqrt,0.8,0.44797259650846144,False,574.2986249998212,0.7245841035120147,0.6266454384138955,0.6231590538992762,0.8284072249589491,0.4123456790123457,0.8091419406575782,0.4441489361702128,0.666683017966524,0.3697703936657619,1009,238,209,167,0.7424522489217499,0.5936897490146564,0.6007074583294095,0.8086373790022338,0.425,0.8708901363271853,0.31648936170212766,0.666683017966524,0.3697703936657619,1086,161,257,119
rf__trees200__depth6__leaf10__featuressqrt,200,6,10,sqrt,0.8,0.48701854451303916,False,574.2986249998212,0.7165742452248922,0.6307211776348343,0.6228723490236647,0.8320675105485232,0.4041095890410959,0.7906976744186046,0.47074468085106386,0.6681994232967632,0.3642408994236003,986,261,199,177,0.718422674060382,0.61334756607347,0.6113084148881814,0.8216612377850163,0.39746835443037976,0.8091419406575782,0.4175531914893617,0.6681994232967632,0.3642408994236003,1009,238,219,157
rf__trees200__depth4__leaf10__features0p1,200,4,10,0.1,0.8,0.5544783698920681,False,574.2986249998212,0.7288971041281578,0.623879225033698,0.6227192615415826,0.826192400970089,0.4170984455958549,0.8195669607056937,0.42819148936170215,0.6731325393710864,0.3646182984913147,1022,225,215,161,0.6906962415280345,0.6343149089730247,0.6141204887752203,0.8389444949954504,0.3797709923664122,0.739374498797113,0.5292553191489362,0.6731325393710864,0.3646182984913147,922,325,177,199
rf__trees100__depth8__leaf10__featuressqrt,100,8,10,sqrt,0.8,0.45156137460676105,False,574.2986249998212,0.7147258163894024,0.6313759405552049,0.6225628790637517,0.83276740237691,0.40224719101123596,0.7866880513231757,0.47606382978723405,0.6684532239075911,0.3616366332078035,981,266,197,179,0.7412199630314233,0.6096066730365644,0.6151179388037183,0.8168582375478928,0.4308176100628931,0.8548516439454691,0.36436170212765956,0.6684532239075911,0.3616366332078035,1066,181,239,137
rf__trees100__depth10__leaf10__features0p1,100,10,10,0.1,0.8,0.48322264575793206,False,574.2986249998212,0.7461491065927295,0.6165296712109062,0.6224490256836476,0.8199233716475096,0.44339622641509435,0.8580593424218124,0.375,0.6725374942414988,0.3694248052211764,1070,177,235,141,0.7461491065927295,0.5942378730229145,0.6018837818528221,0.8085735402808574,0.43333333333333335,0.8773055332798717,0.31117021276595747,0.6725374942414988,0.3694248052211764,1094,153,259,117
rf__trees100__depth4__leaf10__features0p1,100,4,10,0.1,0.8,0.5548891288725563,False,574.2986249998212,0.7301293900184843,0.6228234998037844,0.6223656530885446,0.825422365245374,0.41842105263157897,0.8227746591820368,0.4228723404255319,0.6725374942414987,0.36495198095980375,1026,221,217,159,0.6894639556377079,0.6362994591274378,0.6146825292146983,0.84051329055912,0.37969924812030076,0.7353648757016841,0.5372340425531915,0.6725374942414987,0.36495198095980375,917,330,174,202
rf__trees200__depth8__leaf10__featuressqrt,200,8,10,sqrt,0.8,0.46136416960231674,False,574.2986249998212,0.7215033887861984,0.6264982767151802,0.62190450665897,0.8287841191066998,0.4082125603864734,0.8035284683239775,0.449468085106383,0.6713047484174786,0.3608393518574612,1002,245,207,169,0.7418361059765866,0.6109364602706069,0.6164364940818807,0.8174846625766872,0.43260188087774293,0.8548516439454691,0.3670212765957447,0.6713047484174786,0.3608393518574612,1066,181,238,138
rf__trees100__depth6__leaf10__featuressqrt,100,6,10,sqrt,0.8,0.5203046205203301,False,574.2986249998212,0.7356746765249538,0.6190015611936733,0.6212780770914866,0.8225552050473186,0.4253521126760563,0.8364073777064955,0.4015957446808511,0.6638592195737856,0.3631259033144201,1043,204,225,151,0.7147258163894024,0.6109417922162125,0.60829654511307,0.820785597381342,0.3915211970074813,0.8043303929430633,0.4175531914893617,0.6638592195737856,0.3631259033144201,1003,244,219,157
rf__trees200__depth8__leaf5__featuressqrt,200,8,5,sqrt,0.8,0.4472367364733565,False,574.2986249998212,0.7307455329636475,0.6204379873398284,0.6207726975975978,0.824,0.41823056300268097,0.8259823576583801,0.4148936170212766,0.6672929925438074,0.36068235446697644,1030,217,220,156,0.74060382008626,0.5841274377655309,0.590800722240022,0.8041237113402062,0.41509433962264153,0.8757016840417001,0.2925531914893617,0.6672929925438074,0.36068235446697644,1092,155,266,110
rf__trees300__depth8__leaf10__features0p1,300,8,10,0.1,0.8,0.4402991470333313,False,574.2986249998212,0.7085643869377696,0.6320104420822741,0.6204503598082671,0.8341968911917098,0.3956989247311828,0.7746591820368885,0.48936170212765956,0.6697606169700899,0.36557861145587484,966,281,192,184,0.7387553912507702,0.5996433994778959,0.6056164320755582,0.8119787717968158,0.42105263157894735,0.8588612670408982,0.3404255319148936,0.6697606169700899,0.36557861145587484,1071,176,248,128
rf__trees200__depth4__leaf5__features0p1,200,4,5,0.1,0.8,0.5215659719915302,False,574.2986249998212,0.7091805298829328,0.6314825794673173,0.6203704437872168,0.8337639965546942,0.3961038961038961,0.7762630312750601,0.4867021276595745,0.67150522957225,0.3587211995393161,968,279,193,183,0.6869993838570548,0.6281938354177685,0.6089720484286489,0.8356039963669392,0.3735632183908046,0.7377706495589414,0.5186170212765957,0.67150522957225,0.3587211995393161,920,327,181,195
rf__trees100__depth6__leaf10__features0p1,100,6,10,0.1,0.8,0.5027583074858867,False,574.2986249998212,0.722735674676525,0.6235849016362675,0.6202975856260527,0.8269073010664479,0.4084158415841584,0.8083400160384924,0.43882978723404253,0.67384702008224,0.3668987760904422,1008,239,211,165,0.7190388170055453,0.62117912777901,0.6172407372928691,0.8260511129431163,0.4024390243902439,0.8035284683239775,0.43882978723404253,0.67384702008224,0.3668987760904422,1002,245,211,165
rf__trees200__depth8__leaf10__features0p1,200,8,10,0.1,0.8,0.40745409331450866,False,574.2986249998212,0.6906962415280345,0.6445319831425207,0.6197622843403363,0.8458681522748375,0.38461538461538464,0.7305533279871692,0.5585106382978723,0.6698885836646249,0.36672820940747963,911,336,166,210,0.7393715341959335,0.604688486409937,0.6103192636054702,0.8145038167938932,0.4249201277955272,0.8556535685645549,0.3537234042553192,0.6698885836646249,0.36672820940747963,1067,180,243,133
rf__trees100__depth4__leaf5__features0p1,100,4,5,0.1,0.8,0.5710172309183312,False,574.2986249998212,0.7387553912507702,0.61543342319439,0.619352954451923,0.8202334630350194,0.4289940828402367,0.8452285485164395,0.38563829787234044,0.6703130065348326,0.3579504104222115,1054,193,231,145,0.6857670979667283,0.6311072104966814,0.6100954164672543,0.8377635197066912,0.37406015037593987,0.7329591018444266,0.5292553191489362,0.6703130065348326,0.3579504104222115,914,333,177,199
rf__trees200__depth4__leaf10__featuressqrt,200,4,10,sqrt,0.8,0.5422142464428225,False,574.2986249998212,0.7239679605668515,0.6206715265573547,0.6186224115141724,0.8250610252237591,0.4086294416243655,0.8131515637530072,0.42819148936170215,0.6691527751710488,0.35627264138340864,1014,233,215,161,0.6789895255699322,0.6229813253937109,0.6024873247977961,0.8336397058823529,0.3644859813084112,0.7273456295108259,0.5186170212765957,0.6691527751710488,0.35627264138340864,907,340,181,195
rf__trees100__depth10__leaf5__featuressqrt,100,10,5,sqrt,0.8,0.409195907767705,False,574.2986249998212,0.7153419593345656,0.6243463034687505,0.6180919725695846,0.8284518828451883,0.39953271028037385,0.7939053728949479,0.45478723404255317,0.6627459093313314,0.35772882708770104,990,257,205,171,0.7504621072088724,0.5784681106997218,0.5854348608971128,0.8007142857142857,0.4349775784753363,0.8989574979951884,0.2579787234042553,0.6627459093313314,0.35772882708770104,1121,126,279,97
rf__trees300__depth6__leaf10__featuressqrt,300,6,10,sqrt,0.8,0.4693479722402215,False,574.2986249998212,0.6999383857054837,0.6338275691446706,0.617909964348299,0.8368794326241135,0.3878787878787879,0.7570168404170008,0.5106382978723404,0.667256735313689,0.3627571710187136,944,303,184,192,0.7165742452248922,0.6130735040693409,0.6104908385157979,0.821749795584628,0.395,0.805934242181235,0.42021276595744683,0.667256735313689,0.3627571710187136,1005,242,218,158
